CNO;CNUM;TYP;FABR;MIET;MASS;FARB;ANO;BEME;LNM;BJ;BDAT;ZDAT;RNUM;RBET;WERT;FAKT;KOST;LIEF;MDA;MDE;ABHO;KONT;Z247;Z251;Z255;Z259;Z263;Z345;Z349;Z353;Z357;Z361;Z365;Z447;Z451;Z455;Z459;Z463;Z545;Z549;Z553;Z557;Z561;Z565;Z647;Z651;Z655;Z659;Z663
915;17471;Büro/Unterkunftscont;20 ft GR-JO;135,00;6055x2435x2820;1015 hellelfenbein;433;;;08.10;  .  .    ;  .  .    ;;5100,00;0,00;0,0;0,00;15.05.2015;  .  .    ;  .  .    ;  .  .    ;/18.05.2015/13:23;WН;WН;WН;WН;WН;Sі;Sъ;Sъ;Sъ;Sъ;S;Wъ;Wъ;Wъ;Wъ;Wъ;Sі;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
569;3980;Büro/Unterkunftscont;20 ft GR-JO;135,00;6055x2435x2817;1015 hellelfenbein;433;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;15.05.2015;  .  .    ;  .  .    ;  .  .    ;/18.05.2015/13:23;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
769;J10659;Büro/Unterkunftscont;20 ft GR-JO;135,00;6055x2435x2817;1015 hellelfenbein;433;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;15.05.2015;  .  .    ;  .  .    ;  .  .    ;/18.05.2015/13:23;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
976;061267774;TK-Container 10 ft;ARKTIK TD;600,00;2991x2435x2590;1013 / 5021;436;;CTX/TELEDOOR/GOVI;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;14.10.2014;  .  .    ;  .  .    ;  .  .    ;/15.10.2014/09:28;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
978;621455-1;TK-Container 20 ft;ARKTIK;630,00;6055x2435x2590;1013 / 6021;437;;WCT;;  .  .    ;  .  .    ;;4725,00;0,00;0,0;0,00;17.07.2014;  .  .    ;  .  .    ;  .  .    ;/16.07.2014/15:40;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
852;223825-5;Stahllagercont. 20 ft;;115,00;6055x2435x2590;5010 enzianblau;448;;CDM;;  .  .    ;  .  .    ;;1950,00;0,00;0,0;0,00;04.02.2015;  .  .    ;  .  .    ;  .  .    ;/05.02.2015/07:59;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
892;324760-3;Stahllagercont. 20 ft;;115,00;6055x2435x2590;grün;448;;CDM;;  .  .    ;  .  .    ;;950,00;179,97;0,0;0,00;04.02.2015;  .  .    ;  .  .    ;  .  .    ;/05.02.2015/07:59;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
919;17479;Büro/Unterkunftscont.;20 ft. GR-JO;160,00;6055x2435x2820;1015 hellelfenbein;448;;;08.10;  .  .    ;  .  .    ;;5100,00;0,00;0,0;0,00;04.02.2015;  .  .    ;  .  .    ;  .  .    ;/05.02.2015/07:59;WН;WН;WН;WН;WН;Sі;Sъ;Sъ;Sъ;Sъ;S;Wъ;Wъ;Wъ;Wъ;Wъ;Sі;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
913;17469;Büro/Unterkunftscont.;20 ft. GR-JO;120,00;6055x2435x2820;1015 hellelfenbein;452;;;08.10;  .  .    ;  .  .    ;;5100,00;0,00;0,0;0,00;19.02.2015;  .  .    ;  .  .    ;  .  .    ;/20.02.2015/14:39;WН;WН;WН;WН;WН;Sі;Sъ;Sъ;Sъ;Sъ;S;Wъ;Wъ;Wъ;Wъ;Wъ;Sі;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
1060;0000216;Fremdcontainer 40;;90,00;;;458;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;  .  .    ;/25.09.2014/09:15;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
1061;0000217;Fremdcontainer 40;;90,00;;;458;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;  .  .    ;/25.09.2014/09:15;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
1062;0000218;Fremdcontainer 20;;45,00;;;458;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;  .  .    ;/25.09.2014/09:15;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
570;000033;Datenlogger 304901;EBI 2T-112;39,00;;;466;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;14.12.2012;  .  .    ;  .  .    ;  .  .    ;/27.03.2015/13:29;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
614;0000101;Auffahrrampe;für Kühlcont.;45,00;1760x1000 mm;;466;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;02.11.2011;  .  .    ;  .  .    ;  .  .    ;/09.03.2015/07:42;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
953;555356-7;TK-Container 40 ft;ZANOTTI;810,00;12192x2435x2895;1013 / 5021;466;;CHT-Container;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;02.11.2011;  .  .    ;  .  .    ;  .  .    ;/17.09.2013/15:29;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
311;0000207;Fremdcontainer Flat;Einlagerung;22,50;;;467;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;02.05.2013;  .  .    ;  .  .    ;  .  .    ;/30.08.2013/09:03;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
284;210485-6;Stahllagercont. 20 ft;;95,00;6055x2435x2590;blau;470;;C.S.C;;  .  .    ;  .  .    ;;1278,23;0,00;0,0;0,00;17.12.2003;  .  .    ;  .  .    ;  .  .    ;/01.08.2012/08:03;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
1015;091327089;Bürocontainer 20 ft.;CTX;120,00;6055x2435x2820;9002 grauweiß;472;;Containex;;  .  .    ;  .  .    ;;4350,00;0,00;0,0;0,00;06.08.2013;  .  .    ;  .  .    ;  .  .    ;/12.09.2013/07:55;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
972;280717-5;Stahllagercont. 20 ft;;0,00;6055x2435x2590;grün;479;;CDM;;30.07.2012;  .  .    ;;1300,00;0,00;0,0;0,00;02.03.2015;  .  .    ;  .  .    ;  .  .    ;/27.02.2015/12:52;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
